note_index,source,raw_text_preview,extracted_name,extracted_id,matched_account_id,matched_account_name,match_type,confidence_score,name_mismatch_flag,notes
,usage_metrics.csv,account_id=1024,,1024.0,1024,Beacon Insurance,exact_id,100.0,False,
,usage_metrics.csv,account_id=1025,,1025.0,1025,Tidal Wave Sports,exact_id,100.0,False,
,usage_metrics.csv,account_id=1026,,1026.0,1026,Golden Gate Ventures,exact_id,100.0,False,
,usage_metrics.csv,account_id=1027,,1027.0,1027,Cedar Hill Partners,exact_id,100.0,False,
,usage_metrics.csv,account_id=1028,,1028.0,1028,Arctic Fox Games,exact_id,100.0,False,
,usage_metrics.csv,account_id=1029,,1029.0,1029,Sapphire Networks,exact_id,100.0,False,
,usage_metrics.csv,account_id=1030,,1030.0,1030,Ember Creative,exact_id,100.0,False,
,usage_metrics.csv,account_id=1031,,1031.0,1031,Prism Optics,exact_id,100.0,False,
,usage_metrics.csv,account_id=1032,,1032.0,1032,Obsidian Data,exact_id,100.0,False,
,usage_metrics.csv,account_id=1033,,1033.0,1033,Silver Lining Cloud,exact_id,100.0,False,
,usage_metrics.csv,account_id=1034,,1034.0,1034,Marble Arch Media,exact_id,100.0,False,
,usage_metrics.csv,account_id=1035,,1035.0,1035,Velvet Rope Events,exact_id,100.0,False,
,usage_metrics.csv,account_id=1036,,1036.0,1036,Iron Bridge Capital,exact_id,100.0,False,
,usage_metrics.csv,account_id=1037,,1037.0,1037,Crystal Clear Analytics,exact_id,100.0,False,
,usage_metrics.csv,account_id=1038,,1038.0,1038,Opal Systems,exact_id,100.0,False,
,usage_metrics.csv,account_id=1039,,1039.0,1039,Redwood Health,exact_id,100.0,False,
,usage_metrics.csv,account_id=1040,,1040.0,1040,Cobalt Robotics,exact_id,100.0,False,
,usage_metrics.csv,account_id=1041,,1041.0,1041,Amber Trail Outdoors,exact_id,100.0,False,
,usage_metrics.csv,account_id=1042,,1042.0,1042,Granite Peak Financial,exact_id,100.0,False,
,usage_metrics.csv,account_id=1043,,1043.0,1043,Sunflower Foods,exact_id,100.0,False,
,usage_metrics.csv,account_id=1044,,1044.0,1044,Neon Pixel Studios,exact_id,100.0,False,
,usage_metrics.csv,account_id=1045,,1045.0,1045,Windmill Energy,exact_id,100.0,False,
,usage_metrics.csv,account_id=1046,,1046.0,1046,Onyx Defense,exact_id,100.0,False,
,usage_metrics.csv,account_id=1047,,1047.0,1047,Topaz AI,exact_id,100.0,False,
,usage_metrics.csv,account_id=1048,,1048.0,1048,Lunar Dynamics,exact_id,100.0,False,
,usage_metrics.csv,account_id=1049,,1049.0,1049,Fossil Creek Ranch,exact_id,100.0,False,
,usage_metrics.csv,account_id=1050,,1050.0,1050,Delta Wave Audio,exact_id,100.0,False,
,usage_metrics.csv,account_id=1051,,1051.0,1051,Ivory Tower Education,exact_id,100.0,False,
,usage_metrics.csv,account_id=1052,,1052.0,1052,Crimson Tide Logistics,exact_id,100.0,False,
,usage_metrics.csv,account_id=1053,,1053.0,1053,Cerulean Aerospace,exact_id,100.0,False,
,usage_metrics.csv,account_id=1054,,1054.0,1054,Olive Branch Organics,exact_id,100.0,False,
,usage_metrics.csv,account_id=1055,,1055.0,1055,Starlight Entertainment,exact_id,100.0,False,
,usage_metrics.csv,account_id=1056,,1056.0,1056,Thunderbolt Motors,exact_id,100.0,False,
,usage_metrics.csv,account_id=1057,,1057.0,1057,Pearl Harbor Memorial Trust,exact_id,100.0,False,
,usage_metrics.csv,account_id=1058,,1058.0,1058,Magenta Health,exact_id,100.0,False,
,usage_metrics.csv,account_id=1059,,1059.0,1059,Cobblestone Properties,exact_id,100.0,False,
,usage_metrics.csv,account_id=1060,,1060.0,1060,Titanium Fitness,exact_id,100.0,False,
,usage_metrics.csv,account_id=1061,,1061.0,1061,Flamingo Travel,exact_id,100.0,False,
,usage_metrics.csv,account_id=1062,,1062.0,1062,Driftwood Publishing,exact_id,100.0,False,
,usage_metrics.csv,account_id=1063,,1063.0,1063,Canyon Edge Adventures,exact_id,100.0,False,
,usage_metrics.csv,account_id=1064,,1064.0,1064,Eclipse Software,exact_id,100.0,False,
,usage_metrics.csv,account_id=1065,,1065.0,1065,Harbor Light Consulting,exact_id,100.0,False,
,usage_metrics.csv,account_id=1066,,1066.0,1066,Willow Creek Farms,exact_id,100.0,False,
,usage_metrics.csv,account_id=1067,,1067.0,1067,Stormfront Weather Systems,exact_id,100.0,False,
,usage_metrics.csv,account_id=1068,,1068.0,1068,Keystone Education Group,exact_id,100.0,False,
,usage_metrics.csv,account_id=1069,,1069.0,1069,Catalyst Innovations,exact_id,100.0,False,
,usage_metrics.csv,account_id=1070,,1070.0,1070,Mirage Digital Agency,exact_id,100.0,False,
,usage_metrics.csv,account_id=1071,,1071.0,1071,Polaris Navigation,exact_id,100.0,False,
,usage_metrics.csv,account_id=1072,,1072.0,1072,Sandcastle Hospitality,exact_id,100.0,False,
,usage_metrics.csv,account_id=1073,,1073.0,1073,Foxglove Pharmaceuticals,exact_id,100.0,False,
,usage_metrics.csv,account_id=1074,,1074.0,1074,Ironwood Manufacturing,exact_id,100.0,False,
,usage_metrics.csv,account_id=1075,,1075.0,1075,Ripple Effect Marketing,exact_id,100.0,False,
,usage_metrics.csv,account_id=1076,,1076.0,1076,Basecamp Outdoors,exact_id,100.0,False,
,usage_metrics.csv,account_id=1077,,1077.0,1077,Comet Data Sciences,exact_id,100.0,False,
,usage_metrics.csv,account_id=1078,,1078.0,1078,Trailhead Analytics,exact_id,100.0,False,
,usage_metrics.csv,account_id=1079,,1079.0,1079,Spectrum Health Network,exact_id,100.0,False,
,usage_metrics.csv,account_id=1080,,1080.0,1080,Nightfall Security,exact_id,100.0,False,
,usage_metrics.csv,account_id=1081,,1081.0,1081,Daybreak Solar,exact_id,100.0,False,
,usage_metrics.csv,account_id=1082,,1082.0,1082,Frostbite Gaming,exact_id,100.0,False,
,usage_metrics.csv,account_id=1083,,1083.0,1083,Pebble Stream Media,exact_id,100.0,False,
,usage_metrics.csv,account_id=1084,,1084.0,1084,Wildfire Creative,exact_id,100.0,False,
,usage_metrics.csv,account_id=1085,,1085.0,1085,Anchor Point Financial,exact_id,100.0,False,
,usage_metrics.csv,account_id=1086,,1086.0,1086,Starboard Ventures,exact_id,100.0,False,
,usage_metrics.csv,account_id=1087,,1087.0,1087,Quicksilver Payments,exact_id,100.0,False,
,usage_metrics.csv,account_id=1088,,1088.0,1088,Hearthstone Properties,exact_id,100.0,False,
,usage_metrics.csv,account_id=1089,,1089.0,1089,Thunderpeak Mining,exact_id,100.0,False,
,usage_metrics.csv,account_id=1090,,1090.0,1090,Bluebell Organics,exact_id,100.0,False,
,usage_metrics.csv,account_id=1091,,1091.0,1091,Cascadia Tech,exact_id,100.0,False,
,usage_metrics.csv,account_id=1092,,1092.0,1092,Silverthorn Consulting,exact_id,100.0,False,
,usage_metrics.csv,account_id=1093,,1093.0,1093,Redstone Engineering,exact_id,100.0,False,
,usage_metrics.csv,account_id=1094,,1094.0,1094,Cloudbreak Surf Co,exact_id,100.0,False,
,usage_metrics.csv,account_id=1095,,1095.0,1095,Copperfield Education,exact_id,100.0,False,
